county,indicator,Unit,Date,Value
Coast,Child mortality rate,,2008,18
Coast,Child mortality rate,,2014,14
Coast,Child mortality rate,,2022,7
Coast,Infant mortality rate,,1989,109
Coast,Infant mortality rate,,1993,68
Coast,Infant mortality rate,,1998,70
Coast,Infant mortality rate,,2003,78
Coast,Infant mortality rate,,2008,71
Coast,Infant mortality rate,,2014,44
Coast,Infant mortality rate,,2022,34
Coast,Postneonatal mortality rate,,1989,47
Coast,Postneonatal mortality rate,,1993,40
Coast,Postneonatal mortality rate,,1998,42
Coast,Postneonatal mortality rate,,2003,33
Coast,Postneonatal mortality rate,,2008,27
Coast,Postneonatal mortality rate,,2014,19
Coast,Postneonatal mortality rate,,2022,9
Coast,Neonatal mortality rate,,1989,62
Coast,Neonatal mortality rate,,1993,29
Coast,Neonatal mortality rate,,1998,28
Coast,Neonatal mortality rate,,2003,45
Coast,Neonatal mortality rate,,2008,44
Coast,Neonatal mortality rate,,2014,25
Coast,Neonatal mortality rate,,2022,25
Kilifi,Under-five mortality rate,,2014,56
Kilifi,Under-five mortality rate,,2022,40
Kilifi,Child mortality rate,,2014,18
Kilifi,Child mortality rate,,2022,6
Kilifi,Infant mortality rate,,2014,39
Kilifi,Infant mortality rate,,2022,34
Kilifi,Postneonatal mortality rate,,2014,20
Kilifi,Postneonatal mortality rate,,2022,10
Kilifi,Neonatal mortality rate,,2014,20
Kilifi,Neonatal mortality rate,,2022,24
Kwale,Under-five mortality rate,,2014,60
Kwale,Under-five mortality rate,,2022,30
Kwale,Child mortality rate,,2014,9
Kwale,Child mortality rate,,2022,7
Kwale,Infant mortality rate,,2014,51
Kwale,Infant mortality rate,,2022,23
Kwale,Postneonatal mortality rate,,2014,20
Kwale,Postneonatal mortality rate,,2022,4
Kwale,Neonatal mortality rate,,2014,30
Kwale,Neonatal mortality rate,,2022,19
Lamu,Under-five mortality rate,,2014,68
Lamu,Under-five mortality rate,,2022,50
Lamu,Child mortality rate,,2014,11
Lamu,Child mortality rate,,2022,9
Lamu,Infant mortality rate,,2014,58
Lamu,Infant mortality rate,,2022,41
