county,indicator,Unit,Date,Value
Uasin Gishu,Neonatal mortality rate,,2022,17
Western,Under-five mortality rate,,1989,133
Western,Under-five mortality rate,,1993,110
Western,Under-five mortality rate,,1998,122
Western,Under-five mortality rate,,2003,144
Western,Under-five mortality rate,,2008,121
Western,Under-five mortality rate,,2014,64
Western,Under-five mortality rate,,2022,51
Western,Child mortality rate,,1989,63
Western,Child mortality rate,,1993,49
Western,Child mortality rate,,1998,63
Western,Child mortality rate,,2003,70
Western,Child mortality rate,,2008,60
Western,Child mortality rate,,2014,25
Western,Child mortality rate,,2022,18
Western,Infant mortality rate,,1989,75
Western,Infant mortality rate,,1993,63
Western,Infant mortality rate,,1998,64
Western,Infant mortality rate,,2003,80
Western,Infant mortality rate,,2008,65
Western,Infant mortality rate,,2014,40
Western,Infant mortality rate,,2022,34
Western,Postneonatal mortality rate,,1989,50
Western,Postneonatal mortality rate,,1993,37
Western,Postneonatal mortality rate,,1998,44
Western,Postneonatal mortality rate,,2003,54
Western,Postneonatal mortality rate,,2008,41
Western,Postneonatal mortality rate,,2014,21
Western,Postneonatal mortality rate,,2022,13
Western,Neonatal mortality rate,,1989,25
Western,Neonatal mortality rate,,1993,27
Western,Neonatal mortality rate,,1998,20
Western,Neonatal mortality rate,,2003,25
Western,Neonatal mortality rate,,2008,24
Western,Neonatal mortality rate,,2014,19
Western,Neonatal mortality rate,,2022,20
West Pokot,Under-five mortality rate,,2014,25
West Pokot,Under-five mortality rate,,2022,46
West Pokot,Child mortality rate,,2014,3
West Pokot,Child mortality rate,,2022,9
West Pokot,Infant mortality rate,,2014,22
West Pokot,Infant mortality rate,,2022,38
West Pokot,Postneonatal mortality rate,,2014,8
West Pokot,Postneonatal mortality rate,,2022,11
West Pokot,Neonatal mortality rate,,2014,14
West Pokot,Neonatal mortality rate,,2022,27
Busia,Under-five mortality rate,,2014,78
Busia,Under-five mortality rate,,2022,53
Busia,Child mortality rate,,2014,28
Busia,Child mortality rate,,2022,20
Busia,Infant mortality rate,,2014,52
Busia,Infant mortality rate,,2022,34
Busia,Postneonatal mortality rate,,2014,29
Busia,Postneonatal mortality rate,,2022,12
Busia,Neonatal mortality rate,,2014,23
Busia,Neonatal mortality rate,,2022,22
Bungoma,Under-five mortality rate,,2014,57
Bungoma,Under-five mortality rate,,2022,55
Bungoma,Child mortality rate,,2014,19
Bungoma,Child mortality rate,,2022,16
Bungoma,Infant mortality rate,,2014,39
Bungoma,Infant mortality rate,,2022,39
Bungoma,Postneonatal mortality rate,,2014,17
Bungoma,Postneonatal mortality rate,,2022,15
Bungoma,Neonatal mortality rate,,2014,22
Bungoma,Neonatal mortality rate,,2022,25
Kakamega,Under-five mortality rate,,2014,54
Kakamega,Under-five mortality rate,,2022,45
Kakamega,Child mortality rate,,2014,24
Kakamega,Child mortality rate,,2022,18
Kakamega,Infant mortality rate,,2014,31
Kakamega,Infant mortality rate,,2022,28
Kakamega,Postneonatal mortality rate,,2014,19
Kakamega,Postneonatal mortality rate,,2022,11
Kakamega,Neonatal mortality rate,,2014,11
Kakamega,Neonatal mortality rate,,2022,16
Vihiga,Under-five mortality rate,,2014,91
Vihiga,Under-five mortality rate,,2022,51
Vihiga,Child mortality rate,,2014,39
Vihiga,Child mortality rate,,2022,17
Vihiga,Infant mortality rate,,2014,55
Vihiga,Infant mortality rate,,2022,34
Vihiga,Postneonatal mortality rate,,2014,25
Vihiga,Postneonatal mortality rate,,2022,18
Vihiga,Neonatal mortality rate,,2014,29
Vihiga,Neonatal mortality rate,,2022,16
